Model,RMSE_LogPrice,MAE_LogPrice,R_Squared,RMSE_GBP,PredictTime_s
Ridge Regression,0.70917934959981,0.452711005413964,0.342960307032892,3514463.78433386,0.0017148
Random Forest,0.611905392522155,0.378665459695929,0.510843300654086,3496150.7530971,2.0938791
