Metric,Ridge_Regression,Random_Forest
CV RMSE (mean),0.69789646792332,0.607910022356473
CV RMSE (std),0.00927061967978992,0.00753344600516488
CV R² (mean),0.35474975541118,0.51037950443147
Training RMSE,0.69787536010417,0.436164385865412
Training R²,0.354979433825496,0.748047753698616
